1 phase1 2 CMT like 1004 but diff. initial on V3,,0,0,2402.62581325892,10.8539,24.1717,0.067933,3.02772,145.628,0.927068,1.37467,0.13589,0.105932,0.0919402,0.0110456,-0.00824604,0.0312628,0.045311,0,0.319389,1,../data/1.csv
1 phase1 2 CMT like 1004 but diff. initial on V3,RSE,0,0,2402.62581325892,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,../data/1.csv
2 phase1 2 CMT like 1004 but diff. initial on V3,,1,0,2809.19494557943,9.49662,23.4934,0.0665588,3.46072,91.8129,0.836869,1.61117,0.177199,0.129644,0.14457,0.0201035,-0.0363551,0.054735,0.0437195,0,0.197419,2,../data/2.csv
2 phase1 2 CMT like 1004 but diff. initial on V3,RSE,1,0,2809.19494557943,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,../data/2.csv
3 phase1 2 CMT like 1004 but diff. initial on V3,,0,0,2645.65573731611,8.77633,21.5228,0.0697615,3.50989,127.138,1.06986,0.845224,0.264711,0.123897,0.0655436,-0.00663298,-0.00595025,0.0669061,0.0462624,0,0.191063,3,../data/3.csv
3 phase1 2 CMT like 1004 but diff. initial on V3,RSE,0,0,2645.65573731611,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,../data/3.csv
4 phase1 2 CMT like 1004 but diff. initial on V3,,0,0,2076.57150217858,9.60371,20.5986,0.0654457,2.36073,83.102,1.12187,1.27372,0.140171,0.113304,0.148872,0.00848708,-0.0407205,0.0400442,0.045931,0,0.240156,4,../data/4.csv
4 phase1 2 CMT like 1004 but diff. initial on V3,RSE,0,0,2076.57150217858,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,../data/4.csv
5 phase1 2 CMT like 1004 but diff. initial on V3,,0,0,2796.82308595654,11.0876,24.001,0.0651683,3.16899,134.12,0.859242,0.871736,0.31611,0.203694,0.14812,0.0211501,-0.00616165,0.0246491,0.0402694,0,0.161926,5,../data/5.csv
5 phase1 2 CMT like 1004 but diff. initial on V3,RSE,0,0,2796.82308595654,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,../data/5.csv
6 phase1 2 CMT like 1004 but diff. initial on V3,,0,0,2437.65736239447,6.89413,20.744,0.0606178,5.10363,721.122,1.08619,0.851184,0.51073,0.222281,0.116528,0.0273623,-0.0143049,0.0362027,0.0486053,0,0.219265,6,../data/6.csv
6 phase1 2 CMT like 1004 but diff. initial on V3,RSE,0,0,2437.65736239447,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,../data/6.csv
7 phase1 2 CMT like 1004 but diff. initial on V3,,1,0,2240.12682722089,10.5522,26.1918,0.074689,4.49382,120.148,0.776705,1.2375,0.211979,0.145228,0.100914,-0.000847213,-0.00875919,0.04719,0.0455221,0,0.234365,7,../data/7.csv
7 phase1 2 CMT like 1004 but diff. initial on V3,RSE,1,0,2240.12682722089,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,../data/7.csv
8 phase1 2 CMT like 1004 but diff. initial on V3,,0,0,2685.18105416222,8.91648,23.017,0.0696015,3.29212,136.156,1.18013,1.15642,0.217071,0.140545,0.0963364,-0.0234983,-0.0305881,0.0468269,0.0447898,0,0.228267,8,../data/8.csv
8 phase1 2 CMT like 1004 but diff. initial on V3,RSE,0,0,2685.18105416222,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,../data/8.csv
9 phase1 2 CMT like 1004 but diff. initial on V3,,0,0,2400.30801998119,9.05483,21.51,0.067006,3.09235,144.064,1.06547,1.02671,0.136552,0.12005,0.10968,-0.0226423,-0.0305608,0.0311967,0.0466205,0,0.325352,9,../data/9.csv
9 phase1 2 CMT like 1004 but diff. initial on V3,RSE,0,0,2400.30801998119,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,../data/9.csv
